date time,longitude,latitude
2008-02-05 04:53:11,116.44951,39.8063
2008-02-05 04:53:16,116.44951,39.80626
2008-02-05 04:53:21,116.4495,39.80623
2008-02-05 04:53:26,116.44949,39.8062
2008-02-05 04:53:31,116.44949,39.8062
2008-02-05 04:53:41,116.44949,39.80619
2008-02-05 04:53:46,116.44949,39.8062
2008-02-05 04:53:51,116.44949,39.8062
2008-02-05 04:53:56,116.44949,39.8062
2008-02-05 04:54:01,116.44949,39.8062
2008-02-05 04:54:06,116.44949,39.8062
2008-02-05 04:54:11,116.44949,39.8062
2008-02-05 04:54:16,116.44949,39.8062
2008-02-05 04:54:21,116.44949,39.8062
2008-02-05 04:54:31,116.44949,39.80621
2008-02-05 04:54:36,116.44949,39.80621
2008-02-05 04:54:36,116.44949,39.80621
2008-02-05 04:54:41,116.44949,39.80621
2008-02-05 04:54:41,116.44949,39.80621
2008-02-05 04:54:46,116.44949,39.80621
2008-02-05 04:54:51,116.44949,39.80622
2008-02-05 04:55:01,116.4495,39.80623
2008-02-05 04:55:06,116.4495,39.80623
2008-02-05 04:55:11,116.4495,39.80623
2008-02-05 04:55:16,116.4495,39.80623
2008-02-05 04:55:21,116.4495,39.80623
2008-02-05 04:55:26,116.4495,39.80623
2008-02-05 04:55:31,116.4495,39.80623
2008-02-05 04:55:36,116.44949,39.80623
2008-02-05 04:55:41,116.44949,39.80623
2008-02-05 04:55:46,116.44948,39.80623
2008-02-05 04:55:56,116.44949,39.80623
2008-02-05 04:56:01,116.44949,39.80623
2008-02-05 04:56:06,116.44949,39.80623
2008-02-05 04:56:11,116.44949,39.80623
2008-02-05 04:56:16,116.44949,39.80623
2008-02-05 04:56:21,116.44949,39.80623
2008-02-05 04:56:26,116.44949,39.80623
2008-02-05 04:56:31,116.44949,39.80623
2008-02-05 04:56:36,116.44949,39.80623
2008-02-05 04:56:46,116.44949,39.80623
2008-02-05 04:56:51,116.44949,39.80623
2008-02-05 04:56:56,116.4495,39.80623
2008-02-05 04:57:01,116.4495,39.80623
2008-02-05 04:57:06,116.4495,39.80623
2008-02-05 04:57:16,116.4495,39.80623
2008-02-05 04:57:21,116.44949,39.80623
2008-02-05 04:57:26,116.44949,39.80624
2008-02-05 04:57:36,116.4495,39.80624
2008-02-05 04:57:41,116.4495,39.80624
2008-02-05 04:57:46,116.4495,39.80625
2008-02-05 04:57:51,116.4495,39.80625
2008-02-05 04:57:56,116.4495,39.80626
2008-02-05 04:58:06,116.44951,39.80626
2008-02-05 04:58:11,116.44951,39.80627
2008-02-05 04:58:16,116.44951,39.80627
2008-02-05 04:58:26,116.44952,39.80628
2008-02-05 04:58:36,116.44952,39.80629
2008-02-05 04:58:41,116.44952,39.80629
2008-02-05 04:58:46,116.44952,39.80629
2008-02-05 04:58:51,116.44952,39.80629
2008-02-05 04:58:56,116.44952,39.80629
2008-02-05 04:59:01,116.44952,39.80629
2008-02-05 04:59:16,116.44953,39.80629
2008-02-05 04:59:21,116.44953,39.80629
2008-02-05 04:59:26,116.44953,39.80629
2008-02-05 04:59:26,116.44953,39.80629
2008-02-05 04:59:31,116.44953,39.80629
2008-02-05 04:59:31,116.44953,39.80629
2008-02-05 04:59:36,116.44953,39.80629
2008-02-05 04:59:41,116.44953,39.80629
2008-02-05 04:59:46,116.44953,39.80629
2008-02-05 04:59:51,116.44953,39.80629
2008-02-05 04:59:56,116.44953,39.80629
2008-02-05 05:00:01,116.44953,39.80629
2008-02-05 05:00:06,116.44953,39.80629
2008-02-05 05:00:11,116.44952,39.80629
2008-02-05 05:00:16,116.44952,39.80629
2008-02-05 05:00:21,116.44952,39.80629
2008-02-05 05:00:26,116.44952,39.80629
2008-02-05 05:00:31,116.44952,39.80629
2008-02-05 05:00:36,116.44952,39.80629
2008-02-05 05:00:41,116.44952,39.80629
2008-02-05 05:00:46,116.44952,39.80629
2008-02-05 05:00:51,116.44952,39.80629
2008-02-05 05:00:56,116.44952,39.80629
2008-02-05 05:01:01,116.44952,39.80629
2008-02-05 05:01:06,116.44952,39.80629
2008-02-05 05:01:11,116.44952,39.80629
2008-02-05 05:01:16,116.44952,39.80629
2008-02-05 05:01:21,116.44952,39.80629
2008-02-05 05:01:26,116.44952,39.80629
2008-02-05 05:01:31,116.44952,39.80629
2008-02-05 05:01:36,116.44952,39.80618
2008-02-05 05:01:41,116.44951,39.80607
